ScenarioName,PropagationModel,Technology,RxId,RxPosX,RxPosY,RxPosZ,RxHeight,RxSensitivity,RxSignalStrength,RxConnectMargin,TxId,TxPosX,TxPosY,TxPosZ,TxHeight,TxPower,TxFrequency,TxMaxReflections,TxMaxDiffractions,TxMaxScattering,Distance,BuildingsOn
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84220,-451.000,25.390,-362.570,1.50,-98.0,-54.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,490.164,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84010,-241.000,26.350,-367.570,1.50,-98.0,-49.4,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,280.117,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83760,9.000,25.450,-375.070,1.50,-98.0,-35.4,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,30.078,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83810,-41.000,25.960,-372.570,1.50,-98.0,-39.7,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,80.084,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84360,-591.000,24.620,-360.070,1.50,-98.0,-56.3,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,630.180,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84340,-571.000,24.850,-360.070,1.50,-98.0,-56.1,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,610.186,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84210,-441.000,25.150,-362.570,1.50,-98.0,-54.0,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,480.166,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83980,-211.000,27.080,-367.570,1.50,-98.0,-48.4,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,250.141,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84300,-531.000,25.570,-362.570,1.50,-98.0,-55.5,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,570.142,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84250,-481.000,25.670,-362.570,1.50,-98.0,-54.7,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,520.156,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83990,-221.000,26.830,-367.570,1.50,-98.0,-48.8,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,260.132,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83920,-151.000,27.470,-370.070,1.50,-98.0,-46.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,190.112,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83800,-31.000,25.980,-372.570,1.50,-98.0,-38.9,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,70.096,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84120,-351.000,25.550,-365.070,1.50,-98.0,-52.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,390.135,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84280,-511.000,26.000,-362.570,1.50,-98.0,-55.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,550.149,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84350,-581.000,24.740,-360.070,1.50,-98.0,-56.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,620.183,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84180,-411.000,25.570,-362.570,1.50,-98.0,-53.4,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,450.179,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84070,-301.000,25.350,-367.570,1.50,-98.0,-51.0,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,340.089,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83880,-111.000,27.120,-372.570,1.50,-98.0,-44.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,150.070,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83736,29.000,25.160,-375.070,1.50,-98.0,-34.2,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,10.173,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83820,-51.000,26.050,-372.570,1.50,-98.0,-40.5,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,90.077,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84020,-251.000,26.110,-367.570,1.50,-98.0,-49.7,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,290.111,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84290,-521.000,25.820,-362.570,1.50,-98.0,-55.3,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,560.145,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84240,-471.000,25.630,-362.570,1.50,-98.0,-54.5,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,510.159,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84270,-501.000,26.000,-362.570,1.50,-98.0,-55.0,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,540.151,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83930,-161.000,27.380,-370.070,1.50,-98.0,-46.6,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,200.104,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84040,-271.000,25.740,-367.570,1.50,-98.0,-50.3,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,310.100,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84260,-491.000,25.840,-362.570,1.50,-98.0,-54.9,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,530.154,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84090,-321.000,25.410,-365.070,1.50,-98.0,-51.5,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,360.145,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84160,-391.000,25.970,-365.070,1.50,-98.0,-53.1,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,430.125,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83850,-81.000,26.620,-372.570,1.50,-98.0,-42.5,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,120.072,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-83890,-121.000,27.210,-370.070,1.50,-98.0,-44.8,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,160.126,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84000,-231.000,26.590,-367.570,1.50,-98.0,-49.1,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,270.124,True
S1_Baseline_LOS,FreeSpace,FiveGSub6,RX-84370,-601.000,24.680,-360.070,1.50,-98.0,-56.5,6,TX-83714,39.000,23.290,-375.070,25.00,43.0,3500,2,2,2,640.177,True
