ScenarioName,PropagationModel,Technology,RxId,RxPosX,RxPosY,RxPosZ,RxHeight,RxSensitivity,RxSignalStrength,RxConnectMargin,TxId,TxPosX,TxPosY,TxPosZ,TxHeight,TxPower,TxFrequency,TxMaxReflections,TxMaxDiffractions,TxMaxScattering,Distance,BuildingsOn
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716004,-21.000,26.010,-372.570,1.50,-98.0,-36.4,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,60.113,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716094,-61.000,25.980,-322.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,112.974,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716124,-61.000,25.790,-292.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,129.662,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716104,-61.000,25.970,-312.570,1.50,-98.0,-72.9,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,117.954,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716134,-61.000,25.720,-282.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,136.242,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716224,-111.000,26.490,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,200.165,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-715974,9.000,25.450,-375.070,1.50,-98.0,-31.2,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,30.077,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716374,-263.500,25.790,-242.570,1.50,-98.0,-90.7,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,330.254,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716534,-423.500,23.160,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,481.105,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716034,-51.000,26.050,-372.570,1.50,-98.0,-38.8,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,90.076,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716524,-413.500,23.500,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,471.499,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716014,-31.000,25.980,-372.570,1.50,-98.0,-37.2,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,70.095,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716394,-283.500,25.850,-242.570,1.50,-98.0,-81.1,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,348.666,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716144,-61.000,25.650,-272.570,1.50,-98.0,-82.0,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,143.218,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716354,-243.500,25.770,-242.570,1.50,-98.0,-80.4,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,312.038,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716284,-173.500,25.520,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,250.433,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716464,-353.500,25.100,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,414.264,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716514,-403.500,23.740,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,461.911,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716214,-101.000,26.220,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,192.780,True
